"","week","weekly_rank","show_title","weekly_hours_viewed","runtime","weekly_views","cumulative_weeks_in_top_10","is_staggered_launch","awards","genre_Dramas","genre_Comedies","genre_International","english"
"202","2021-10-17",7,"Redemption",5800000,1.4333,4046605.73501709,1,"false",FALSE,TRUE,FALSE,TRUE,TRUE
"203","2021-10-17",7,"Confessions of an Invisible Girl",2120000,2.1,1009523.80952381,4,"false",FALSE,FALSE,TRUE,FALSE,FALSE
"204","2021-10-10",4,"My Little Pony: A New Generation",13370000,1.6333,8185881.34451723,3,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"205","2021-10-10",10,"Security",6830000,1.5167,4503197.73191798,1,"false",FALSE,TRUE,FALSE,TRUE,TRUE
"206","2021-10-10",4,"Confessions of an Invisible Girl",2730000,1.4667,1861321.33360605,3,"false",FALSE,FALSE,TRUE,FALSE,FALSE
"207","2021-10-03",2,"My Little Pony: A New Generation",24510000,1.4333,17100397.6836671,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"208","2021-10-03",3,"The Starling",20130000,1.75,11502857.1428571,2,"false",FALSE,TRUE,TRUE,FALSE,TRUE
"209","2021-10-03",6,"Intrusion",12050000,1.8667,6455241.87068088,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"210","2021-10-03",7,"Grown Ups",8130000,1.65,4927272.72727273,2,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"211","2021-10-03",8,"Kate",5680000,2,2840000,4,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"212","2021-10-03",10,"Vivo",4160000,1.8667,2228531.63336369,7,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"213","2021-10-03",3,"Confessions of an Invisible Girl",6350000,1.75,3628571.42857143,2,"false",FALSE,FALSE,TRUE,FALSE,FALSE
"214","2021-10-03",6,"The Father Who Moves Mountains",2940000,1.4667,2004499.8977296,3,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"215","2021-10-03",8,"Je Suis Karl",2140000,1.4333,1493057.97809251,1,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"216","2021-10-03",9,"The Stronghold",1840000,1.5833,1162129.72904693,3,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"217","2021-10-03",10,"Freaks – You're One of Us",1450000,1.75,828571.428571429,1,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"218","2021-09-26",1,"Intrusion",30040000,1.4333,20958626.9448127,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"219","2021-09-26",2,"The Starling",16670000,2.2333,7464290.51179868,1,"false",FALSE,TRUE,TRUE,FALSE,TRUE
"220","2021-09-26",3,"My Little Pony: A New Generation",15510000,1.5167,10226148.8758489,1,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"221","2021-09-26",5,"Kate",11280000,1.4333,7869950.46396428,3,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"222","2021-09-26",6,"Grown Ups",9250000,2,4625000,1,"false",FALSE,FALSE,TRUE,FALSE,TRUE
"223","2021-09-26",7,"Schumacher",8040000,1.4333,5609432.77750645,2,"false",FALSE,FALSE,FALSE,TRUE,TRUE
"224","2021-09-26",8,"Safe House",6930000,1.6667,4157916.84166317,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"225","2021-09-26",9,"Nightbooks",6790000,2.1,3233333.33333333,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"226","2021-09-26",1,"The Father Who Moves Mountains",16120000,1.65,9769696.96969697,2,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"227","2021-09-26",2,"The Stronghold",9490000,1.4333,6621084.21126073,2,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"228","2021-09-26",3,"Confessions of an Invisible Girl",7130000,1.9667,3625362.28199522,1,"false",FALSE,FALSE,TRUE,FALSE,FALSE
"229","2021-09-26",4,"Prey",2330000,1.9667,1184725.68261555,3,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"230","2021-09-26",6,"Ankahi Kahaniya",1260000,1.75,720000,1,"false",FALSE,TRUE,FALSE,TRUE,FALSE
"231","2021-09-26",7,"Blood Red Sky",1120000,1.4333,781413.52124468,9,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"232","2021-09-26",8,"Pinkfong & Baby Shark's Space Adventure",1050000,1.9667,533889.256114303,2,"false",FALSE,FALSE,FALSE,FALSE,FALSE
"233","2021-09-26",9,"Xtreme",1030000,1.6667,617987.640247195,3,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"234","2021-09-26",10,"Rurouni Kenshin: The Beginning",930000,1.4333,648852.298890672,7,"false",FALSE,FALSE,FALSE,TRUE,FALSE
"235","2021-09-19",1,"Kate",37400000,1.6,23375000,2,"false",FALSE,FALSE,FALSE,FALSE,TRUE
"236","2021-09-19",2,"Schumacher",17290000,2.0833,8299332.78932463,1,"false",FALSE,FALSE,FALSE,TRUE,TRUE
